"source","target"
28,74
13,34
13,74
4,60
51,33
17,74
64,74
3,60
20,74
7,63
14,34
14,74
5,33
30,34
30,74
53,74
46,74
23,74
74,37
74,75
74,59
67,33
37,74
38,74
16,34
16,74
74,32
44,74
6,33
27,74
0,33
73,74
32,74
26,61
26,41
26,40
26,11
26,43
26,74
45,74
50,60
65,60
19,34
19,74
62,33
39,34
39,74
56,74
25,33
48,34
48,74
2,34
2,74
55,74
21,74
12,34
12,74
31,34
31,74
74,21
34,74
47,74
15,74
9,74
33,74
72,71
72,10
72,58
72,1
72,74
72,49
66,24
66,29
66,70
66,18
66,42
66,66
36,63
22,63
74,33
69,74
74,8
68,74
35,68
35,54
35,74
35,52
57,74
